Ch,RX Freq,TX Freq,+/-,Offset,TX PL,RX PL,DCARA / ARES I.C.E.,NAME,LONG NAME,,Updated 3/22/17,,,,
67,444.7250,449.7250,+,5.0000,110.9,110.9,Richardson Wireless Klub,RWK70,RCHRDSN70,,,,,,
68,446.0250,446.0250,,,110.9,110.9,X-BAND (assigned during event),X-BAND,X-BAND,,,,,,
69,442.4000,447.4000,+,5.0000,110.9,110.9,Cedar Hill - W5MAY,CDRHL,CDRHILL,,,,,,
70,442.4500,447.4500,+,5.0000,156.7,,BOWIE,BOWIE,BOWIE,,,,,,
71,444.8500,449.8500,+,5.0000,110.9,110.9,Flower Mound. ERS system,FMND85,FMNDERS7,,,,,,
72,442.4250,447.4250,+,5.0000,110.9,110.9,DARC Dallas,DARC42,DARC42,,,,,,
73,444.2250,449.2250,+,5.0000,110.9,110.9,Coppell,COPPEL,COPPELL,,,,,,
74,444.0750,449.0750,+,5.0000,110.9,110.9,Metrocrest ARS,MARS07,MARS075,,,,,,
75,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,
78,443.3000,448.3000,+,5.0000,110.9,110.9,LAARK Fusion Repeater,LRK70,LAARK70,,,,,,
79,446.0750,446.0750,,,110.9,110.9,Presby Hosp x-Band with 146.920,PRESBX,PRSBY-X,,,,,,
80,446.0750,446.0750,,,114.8,114.8,Reserved for future 92 Crossband,92XB1,92CRSBND1,,,,,,
81,446.0750,446.0750,,,118.8,118.8,Reserved for future 92 Crossband,92XB2,92CRSBND2,,,,,,
82,446.0750,446.0750,,,123.0,123.0,Reserved for future 92 Crossband,92XB3,92CRSBND3,,,,,,
83,446.0750,446.0750,,,127.3,127.3,Reserved for future 92 Crossband,92XB4,92CRSBND4,,,,,,
84,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,
91,162.4000,,,,,,WX1,,,,,,,,
92,162.4250,,,,,,WX2,,,,,,,,
93,162.4500,,,,,,WX3,,,,,,,,
94,162.4750,,,,,,WX4,,,,,,,,
95,162.5000,,,,,,WX5,,,,,,,,
96,162.5250,,,,,,WX6,,,,,,,,
97,162.5500,,,,,,WX7,,,,,,,,
98,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,
100,144.3900,144.3900,,,CXR,N/A,APRS Primary,APRS 1,APRS 1,,,,,,
101,144.3400,144.3400,,,CXR,N/A,APRS Secondary,APRS 2,APRS 2,,,,,,
102,145.0100,145.0100,,,CXR,N/A,Packet,PKT CL,PKT CL,,,,,,
103,145.0300,145.0300,,,CXR,N/A,Packet,FREQ F,FREQ F,,,,,,
104,145.0500,145.0500,,,CXR,N/A,Packet,FREQ G,FREQ G,,,,,,
105,145.0700,145.0700,,,CXR,N/A,Packet,FREQ H,FREQ H,,,,,,
106,144.9100,144.9100,,,CXR,N/A,Winlink BBS - Denton,FREQ A,FREQ A,,,,,,
107,144.9300,144.9300,,,CXR,N/A,Packet,FREQ B,FREQ B,,,,,,
108,144.9500,144.9500,,,CXR,N/A,Packet,FREQ C,FREQ C,,,,,,
109,144.9700,144.9700,,,CXR,N/A,Winlink RMS Gateway-L. Elm,FREQ D,FREQ D,,,,,,
110,144.9900,144.9900,,,CXR,N/A,Winlink RMS Gateway EOC Denton,FREQ E,FREQ E,,,,,,
111,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,
